title,author,date,views,likes,link,categoria,grupo
This could be why you're depressed or anxious,Johann Hari,July 2019,13000000,416000,https://ted.com/talks/johann_hari_this_could_be_why_you_re_depressed_or_anxious,1,70
The benefits of a bilingual brain,Mia Nacamulli,June 2015,13000000,415000,https://ted.com/talks/mia_nacamulli_the_benefits_of_a_bilingual_brain,1,71
Every kid needs a champion,Rita Pierson,May 2013,13000000,408000,https://ted.com/talks/rita_pierson_every_kid_needs_a_champion,1,72
Can you solve the famously difficult green-eyed logic puzzle?,Alex Gendler,June 2015,13000000,406000,https://ted.com/talks/alex_gendler_can_you_solve_the_famously_difficult_green_eyed_logic_puzzle,1,73
How to fix a broken heart,Guy Winch,April 2017,13000000,405000,https://ted.com/talks/guy_winch_how_to_fix_a_broken_heart,1,74
The secrets of learning a new language,Lýdia Machová,October 2018,13000000,403000,https://ted.com/talks/lydia_machova_the_secrets_of_learning_a_new_language,1,75
The power of believing that you can improve,Carol Dweck,November 2014,13000000,402000,https://ted.com/talks/carol_dweck_the_power_of_believing_that_you_can_improve,1,76
Questioning the universe,Stephen Hawking,February 2008,13000000,401000,https://ted.com/talks/stephen_hawking_questioning_the_universe,1,77
How sugar affects the brain,Nicole Avena,January 2014,13000000,401000,https://ted.com/talks/nicole_avena_how_sugar_affects_the_brain,1,78
Can you really tell if a kid is lying?,Kang Lee,February 2016,13000000,400000,https://ted.com/talks/kang_lee_can_you_really_tell_if_a_kid_is_lying,1,79
My son was a Columbine shooter. This is my story,Sue Klebold,November 2016,13000000,395000,https://ted.com/talks/sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,1,80
Why do women have periods?,TED-Ed,October 2015,13000000,395000,https://ted.com/talks/ted_ed_why_do_women_have_periods,1,81
All it takes is 10 mindful minutes,Andy Puddicombe,November 2012,13000000,393000,https://ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes,1,82
What would happen if you didn't sleep?,Claudia Aguirre,November 2015,12000000,387000,https://ted.com/talks/claudia_aguirre_what_would_happen_if_you_didn_t_sleep,1,83
How to control someone else's arm with your brain,Greg Gage,March 2015,12000000,387000,https://ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain,1,84
Beats that defy boxes,Reggie Watts,February 2012,12000000,385000,https://ted.com/talks/reggie_watts_beats_that_defy_boxes,1,85
A 12-year-old app developer,Thomas Suarez,October 2011,12000000,384000,https://ted.com/talks/thomas_suarez_a_12_year_old_app_developer,1,86
How do you define yourself?,Lizzie Velásquez,December 2013,12000000,382000,https://ted.com/talks/lizzie_velasquez_how_do_you_define_yourself,1,87
Your brain hallucinates your conscious reality,Anil Seth,April 2017,12000000,382000,https://ted.com/talks/anil_seth_your_brain_hallucinates_your_conscious_reality,1,88
How the food you eat affects your brain,Mia Nacamulli,June 2016,12000000,381000,https://ted.com/talks/mia_nacamulli_how_the_food_you_eat_affects_your_brain,1,89
The art of asking,Amanda Palmer,February 2013,12000000,381000,https://ted.com/talks/amanda_palmer_the_art_of_asking,1,90
The history of our world in 18 minutes,David Christian,March 2011,12000000,380000,https://ted.com/talks/david_christian_the_history_of_our_world_in_18_minutes,1,91
How does anesthesia work?,Steven Zheng,June 2016,12000000,376000,https://ted.com/talks/steven_zheng_how_does_anesthesia_work,1,92
"Depression, the secret we share",Andrew Solomon,October 2013,12000000,376000,https://ted.com/talks/andrew_solomon_depression_the_secret_we_share,1,93
Why 30 is not the new 20,Meg Jay,February 2013,12000000,374000,https://ted.com/talks/meg_jay_why_30_is_not_the_new_20,1,94
How to gain control of your free time,Laura Vanderkam,October 2016,12000000,373000,https://ted.com/talks/laura_vanderkam_how_to_gain_control_of_your_free_time,1,95
The loathsome lethal mosquito,Rose Eveleth,December 2013,12000000,373000,https://ted.com/talks/rose_eveleth_the_loathsome_lethal_mosquito,1,96
Why we all need to practice emotional first aid,Guy Winch,November 2014,12000000,371000,https://ted.com/talks/guy_winch_why_we_all_need_to_practice_emotional_first_aid,1,97
How playing an instrument benefits your brain,Anita Collins,July 2014,12000000,369000,https://ted.com/talks/anita_collins_how_playing_an_instrument_benefits_your_brain,1,98
How Thor got his hammer,Scott A. Mellor,January 2019,12000000,366000,https://ted.com/talks/scott_a_mellor_how_thor_got_his_hammer,1,99
My journey from Marine to actor,Adam Driver,November 2015,12000000,362000,https://ted.com/talks/adam_driver_my_journey_from_marine_to_actor,1,100
How to practice effectively...for just about anything,Annie Bosler and Don Greene,February 2017,12000000,362000,https://ted.com/talks/annie_bosler_and_don_greene_how_to_practice_effectively_for_just_about_anything,1,1
"Why we love, why we cheat",Helen Fisher,February 2006,12000000,361000,https://ted.com/talks/helen_fisher_why_we_love_why_we_cheat,1,2
You can grow new brain cells. Here's how,Sandrine Thuret,June 2015,12000000,360000,https://ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how,1,3
 A brie(f) history of cheese,Paul S. Kindstedt,December 2018,11000000,358000,https://ted.com/talks/paul_s_kindstedt_a_brie_f_history_of_cheese,1,4
There's more to life than being happy,Emily Esfahani Smith,April 2017,11000000,357000,https://ted.com/talks/emily_esfahani_smith_there_s_more_to_life_than_being_happy,1,5
Why do cats act so weird?,Tony Buffington,April 2016,11000000,356000,https://ted.com/talks/tony_buffington_why_do_cats_act_so_weird,1,6
How to escape education's death valley,Sir Ken Robinson,April 2013,11000000,351000,https://ted.com/talks/sir_ken_robinson_how_to_escape_education_s_death_valley,1,7
"Can you solve ""Einstein's Riddle""?",Dan Van der Vieren,November 2015,11000000,349000,https://ted.com/talks/dan_van_der_vieren_can_you_solve_einstein_s_riddle,1,8
I got 99 problems ... palsy is just one,Maysoon Zayid,December 2013,11000000,349000,https://ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one,1,9
Meet the SixthSense interaction,Pattie Maes + Pranav Mistry,February 2009,11000000,343000,https://ted.com/talks/pattie_maes_pranav_mistry_meet_the_sixthsense_interaction,1,10
Can you solve the three gods riddle?,Alex Gendler,February 2017,11000000,341000,https://ted.com/talks/alex_gendler_can_you_solve_the_three_gods_riddle,1,11
What I learned from going blind in space,Chris Hadfield,March 2014,11000000,341000,https://ted.com/talks/chris_hadfield_what_i_learned_from_going_blind_in_space,1,12
"Thoughts on humanity, fame and love",Shah Rukh Khan,April 2017,11000000,338000,https://ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love,1,13
"How I climbed a 3,000-foot vertical cliff — without ropes",Alex Honnold,April 2018,11000000,337000,https://ted.com/talks/alex_honnold_how_i_climbed_a_3_000_foot_vertical_cliff_without_ropes,1,14
A glimpse of teenage life in ancient Rome,Ray Laurence,October 2012,11000000,336000,https://ted.com/talks/ray_laurence_a_glimpse_of_teenage_life_in_ancient_rome,1,15
Why we have too few women leaders,Sheryl Sandberg,December 2010,11000000,335000,https://ted.com/talks/sheryl_sandberg_why_we_have_too_few_women_leaders,1,16
The psychology of narcissism,W. Keith Campbell,February 2016,11000000,333000,https://ted.com/talks/w_keith_campbell_the_psychology_of_narcissism,1,17
Why you should define your fears instead of your goals,Tim Ferriss,April 2017,10000000,325000,https://ted.com/talks/tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,1,18
Can you solve the locker riddle?,Lisa Winer,March 2016,10000000,319000,https://ted.com/talks/lisa_winer_can_you_solve_the_locker_riddle,1,19
Can you solve the virus riddle?,Lisa Winer,April 2017,10000000,316000,https://ted.com/talks/lisa_winer_can_you_solve_the_virus_riddle,1,20
I grew up in the Westboro Baptist Church. Here's why I left,Megan Phelps-Roper,February 2017,10000000,316000,https://ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,1,21
"What causes dandruff, and how do you get rid of it?",Thomas L. Dawson,February 2021,10000000,315000,https://ted.com/talks/thomas_l_dawson_what_causes_dandruff_and_how_do_you_get_rid_of_it,1,22
Teach every child about food,Jamie Oliver,February 2010,10000000,309000,https://ted.com/talks/jamie_oliver_teach_every_child_about_food,1,23
5 ways to listen better,Julian Treasure,July 2011,10000000,307000,https://ted.com/talks/julian_treasure_5_ways_to_listen_better,1,24
The habits of happiness,Matthieu Ricard,February 2004,10000000,305000,https://ted.com/talks/matthieu_ricard_the_habits_of_happiness,1,25
Bring on the learning revolution!,Sir Ken Robinson,February 2010,10000000,302000,https://ted.com/talks/sir_ken_robinson_bring_on_the_learning_revolution,1,26
Meet the dazzling flying machines of the future,Raffaello D'Andrea,February 2016,10000000,302000,https://ted.com/talks/raffaello_d_andrea_meet_the_dazzling_flying_machines_of_the_future,1,27
"A performance of ""Mathemagic""",Arthur Benjamin,February 2005,9900000,298000,https://ted.com/talks/arthur_benjamin_a_performance_of_mathemagic,1,28
How to live before you die,Steve Jobs,June 2005,9900000,297000,https://ted.com/talks/steve_jobs_how_to_live_before_you_die,1,29
The benefits of good posture,Murat Dalkilinç,July 2015,9800000,295000,https://ted.com/talks/murat_dalkilinc_the_benefits_of_good_posture,1,30
Learning from dirty jobs,Mike Rowe,December 2008,9700000,293000,https://ted.com/talks/mike_rowe_learning_from_dirty_jobs,1,31
How to start a movement,Derek Sivers,February 2010,9600000,290000,https://ted.com/talks/derek_sivers_how_to_start_a_movement,1,32
The single biggest reason why start-ups succeed,Bill Gross,March 2015,9600000,289000,https://ted.com/talks/bill_gross_the_single_biggest_reason_why_start_ups_succeed,1,33
The gift and power of emotional courage,Susan David,November 2017,9600000,288000,https://ted.com/talks/susan_david_the_gift_and_power_of_emotional_courage,1,34
Can you solve the prisoner boxes riddle?,Yossi Elran,October 2016,9600000,288000,https://ted.com/talks/yossi_elran_can_you_solve_the_prisoner_boxes_riddle,1,35
Can you solve the temple riddle?,Dennis Shasha,February 2016,9500000,287000,https://ted.com/talks/dennis_shasha_can_you_solve_the_temple_riddle,1,36
The Atlantic slave trade: What too few textbooks told you,Anthony Hazard,December 2014,9500000,285000,https://ted.com/talks/anthony_hazard_the_atlantic_slave_trade_what_too_few_textbooks_told_you,1,37
Hidden miracles of the natural world,Louie Schwartzberg,March 2014,9400000,284000,https://ted.com/talks/louie_schwartzberg_hidden_miracles_of_the_natural_world,1,38
What hallucination reveals about our minds,Oliver Sacks,February 2009,9400000,284000,https://ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds,1,39
Why incompetent people think they're amazing,David Dunning,November 2017,9400000,283000,https://ted.com/talks/david_dunning_why_incompetent_people_think_they_re_amazing,1,40
How childhood trauma affects health across a lifetime,Nadine Burke Harris,September 2014,9400000,282000,https://ted.com/talks/nadine_burke_harris_how_childhood_trauma_affects_health_across_a_lifetime,1,41
The difference between healthy and unhealthy love,Katie Hood,April 2019,9300000,281000,https://ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love,1,42
"Are athletes really getting faster, better, stronger?",David Epstein,March 2014,9300000,279000,https://ted.com/talks/david_epstein_are_athletes_really_getting_faster_better_stronger,1,43
Are you a giver or a taker?,Adam Grant,November 2016,9200000,276000,https://ted.com/talks/adam_grant_are_you_a_giver_or_a_taker,1,44
"Choice, happiness and spaghetti sauce",Malcolm Gladwell,February 2004,9200000,276000,https://ted.com/talks/malcolm_gladwell_choice_happiness_and_spaghetti_sauce,1,45
Why are some people left-handed?,Daniel M. Abrams,February 2015,9100000,274000,https://ted.com/talks/daniel_m_abrams_why_are_some_people_left_handed,1,46
Four sisters in Ancient Rome,Ray Laurence,May 2013,9100000,274000,https://ted.com/talks/ray_laurence_four_sisters_in_ancient_rome,1,47
Can you solve the pirate riddle?,Alex Gendler,May 2017,9100000,274000,https://ted.com/talks/alex_gendler_can_you_solve_the_pirate_riddle,1,48
Why does the universe exist?,Jim Holt,March 2014,9100000,273000,https://ted.com/talks/jim_holt_why_does_the_universe_exist,1,49
Why you should quit social media,Cal Newport,June 2016,9100000,273000,https://ted.com/talks/cal_newport_why_you_should_quit_social_media,1,50
What I learned from 100 days of rejection,Jia Jiang,May 2015,9000000,272000,https://ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection,1,51
"The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,April 2018,9000000,271000,https://ted.com/talks/karen_j_meech_the_story_of_oumuamua_the_first_visitor_from_another_star_system,1,52
How to make hard choices,Ruth Chang,May 2014,8900000,269000,https://ted.com/talks/ruth_chang_how_to_make_hard_choices,1,53
Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,February 2013,8900000,268000,https://ted.com/talks/sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey,1,54
"The unexpected math behind Van Gogh's ""Starry Night""",Natalya St. Clair,October 2014,8800000,266000,https://ted.com/talks/natalya_st_clair_the_unexpected_math_behind_van_gogh_s_starry_night,1,55
A robot that flies like a bird,Markus Fischer,July 2011,8800000,264000,https://ted.com/talks/markus_fischer_a_robot_that_flies_like_a_bird,1,56
5 tips to improve your critical thinking,Samantha Agoos,March 2016,8700000,263000,https://ted.com/talks/samantha_agoos_5_tips_to_improve_your_critical_thinking,1,57
Your brain on video games,Daphne Bavelier,June 2012,8700000,262000,https://ted.com/talks/daphne_bavelier_your_brain_on_video_games,1,58
Is it bad to hold your pee?,Heba Shaheed,October 2016,8700000,262000,https://ted.com/talks/heba_shaheed_is_it_bad_to_hold_your_pee,1,59
Fly with the Jetman,Yves Rossy,July 2011,8700000,262000,https://ted.com/talks/yves_rossy_fly_with_the_jetman,1,60
"Who were the Vestal Virgins, and what was their job?",Peta Greenfield,May 2017,8700000,262000,https://ted.com/talks/peta_greenfield_who_were_the_vestal_virgins_and_what_was_their_job,1,61
Can you solve the passcode riddle?,Ganesh Pai,July 2016,8700000,261000,https://ted.com/talks/ganesh_pai_can_you_solve_the_passcode_riddle,1,62
Why are these 32 symbols found in ancient caves all over Europe?,Genevieve von Petzinger,August 2015,8600000,260000,https://ted.com/talks/genevieve_von_petzinger_why_are_these_32_symbols_found_in_ancient_caves_all_over_europe,1,63
How we must respond to the coronavirus pandemic,Bill Gates,March 2020,8600000,259000,https://ted.com/talks/bill_gates_how_we_must_respond_to_the_coronavirus_pandemic,1,64
Does your vote count? The Electoral College explained,Christina Greer,November 2012,8600000,259000,https://ted.com/talks/christina_greer_does_your_vote_count_the_electoral_college_explained,1,65
"A kinder, gentler philosophy of success",Alain de Botton,July 2009,8600000,258000,https://ted.com/talks/alain_de_botton_a_kinder_gentler_philosophy_of_success,1,66
Debunking the myths of OCD,Dr. Natascha M. Santos,May 2015,8500000,257000,https://ted.com/talks/dr_natascha_m_santos_debunking_the_myths_of_ocd,1,67
Want to be happy? Be grateful,David Steindl-Rast,June 2013,8500000,257000,https://ted.com/talks/david_steindl_rast_want_to_be_happy_be_grateful,1,68
Why do we sleep?,Russell Foster,June 2013,8500000,256000,https://ted.com/talks/russell_foster_why_do_we_sleep,1,69
Conception to birth — visualized,Alexander Tsiaras,December 2010,8400000,252000,https://ted.com/talks/alexander_tsiaras_conception_to_birth_visualized,1,70
3 tips to boost your confidence,Amy Adkins,October 2015,8300000,249000,https://ted.com/talks/amy_adkins_3_tips_to_boost_your_confidence,1,71
How I hacked online dating,Amy Webb,April 2013,8300000,249000,https://ted.com/talks/amy_webb_how_i_hacked_online_dating,1,72
The magic of Fibonacci numbers,Arthur Benjamin,June 2013,8199999,247000,https://ted.com/talks/arthur_benjamin_the_magic_of_fibonacci_numbers,1,73
3 things I learned while my plane crashed,Ric Elias,March 2011,8199999,247000,https://ted.com/talks/ric_elias_3_things_i_learned_while_my_plane_crashed,1,74
Why some of us don't have one true calling,Emilie Wapnick,April 2015,8199999,247000,https://ted.com/talks/emilie_wapnick_why_some_of_us_don_t_have_one_true_calling,1,75
Innovating to zero!,Bill Gates,February 2010,8100000,245000,https://ted.com/talks/bill_gates_innovating_to_zero,1,76
What explains the rise of humans?,Yuval Noah Harari,June 2015,8100000,245000,https://ted.com/talks/yuval_noah_harari_what_explains_the_rise_of_humans,1,77
What it's like to be Muslim in America,Dalia Mogahed,February 2016,8100000,245000,https://ted.com/talks/dalia_mogahed_what_it_s_like_to_be_muslim_in_america,1,78
What makes a hero?,Matthew Winkler,December 2012,8100000,244000,https://ted.com/talks/matthew_winkler_what_makes_a_hero,1,79
Why elephants never forget,Alex Gendler,November 2014,8000000,242000,https://ted.com/talks/alex_gendler_why_elephants_never_forget,1,80
The world's most mysterious book,Stephen Bax,May 2017,8000000,242000,https://ted.com/talks/stephen_bax_the_world_s_most_mysterious_book,1,81
Get comfortable with being uncomfortable,Luvvie Ajayi Jones,November 2017,8000000,241000,https://ted.com/talks/luvvie_ajayi_jones_get_comfortable_with_being_uncomfortable,1,82
Can you solve the counterfeit coin riddle?,Jennifer Lu,January 2017,8000000,241000,https://ted.com/talks/jennifer_lu_can_you_solve_the_counterfeit_coin_riddle,1,83
"Why I'm done trying to be ""man enough""",Justin Baldoni,November 2017,8000000,241000,https://ted.com/talks/justin_baldoni_why_i_m_done_trying_to_be_man_enough,1,84
The history of chocolate,Deanna Pucciarelli,March 2017,8000000,240000,https://ted.com/talks/deanna_pucciarelli_the_history_of_chocolate,1,85
How to tie your shoes,Terry Moore,February 2005,7900000,238000,https://ted.com/talks/terry_moore_how_to_tie_your_shoes,1,86
How to fight desertification and reverse climate change,Allan Savory,February 2013,7900000,238000,https://ted.com/talks/allan_savory_how_to_fight_desertification_and_reverse_climate_change,1,87
We need to talk about an injustice,Bryan Stevenson,March 2012,7900000,238000,https://ted.com/talks/bryan_stevenson_we_need_to_talk_about_an_injustice,1,88
The unheard story of David and Goliath,Malcolm Gladwell,September 2013,7800000,236000,https://ted.com/talks/malcolm_gladwell_the_unheard_story_of_david_and_goliath,1,89
"The mind behind Tesla, SpaceX, SolarCity ...",Elon Musk,February 2013,7800000,236000,https://ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity,1,90
Why people believe weird things,Michael Shermer,February 2006,7800000,236000,https://ted.com/talks/michael_shermer_why_people_believe_weird_things,1,91
Why sitting is bad for you,Murat Dalkilinç,March 2015,7800000,234000,https://ted.com/talks/murat_dalkilinc_why_sitting_is_bad_for_you,1,92
