title,author,date,views,likes,link,categoria
4 steps to hiring fairly — and supporting criminal justice reform,Nyra Jordan,November 2021,1100000,33000,https://ted.com/talks/nyra_jordan_4_steps_to_hiring_fairly_and_supporting_criminal_justice_reform,medios
"Yes, scientists are actually building an elevator to space",Fabio Pacucci,December 2021,714000,21000,https://ted.com/talks/fabio_pacucci_yes_scientists_are_actually_building_an_elevator_to_space,medios
How to end the pandemic — and prepare for the next,Maria Van Kerkhove,December 2021,1200000,36000,https://ted.com/talks/maria_van_kerkhove_how_to_end_the_pandemic_and_prepare_for_the_next,medios
3 questions to build resilience — and change the world,Sister True Dedication,October 2021,1200000,38000,https://ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world,medios
Community investment is the missing piece of climate action,Dawn Lippert,October 2021,1000000,32000,https://ted.com/talks/dawn_lippert_community_investment_is_the_missing_piece_of_climate_action,medios
The dream of educating Afghan girls lives on,Shabana Basij-Rasikh,December 2021,1400000,44000,https://ted.com/talks/shabana_basij_rasikh_the_dream_of_educating_afghan_girls_lives_on,medios
How gratitude rewires your brain,Christina Costa,March 2021,1400000,44000,https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain,medios
The value of kindness at work,James Rhee,September 2021,1300000,41000,https://ted.com/talks/james_rhee_the_value_of_kindness_at_work,medios
It's impossible to have healthy people on a sick planet,Shweta Narayan,October 2021,1200000,36000,https://ted.com/talks/shweta_narayan_it_s_impossible_to_have_healthy_people_on_a_sick_planet,medios
The forest is our teacher. It's time to respect it,Nemonte Nenquimo,October 2021,1000000,32000,https://ted.com/talks/nemonte_nenquimo_the_forest_is_our_teacher_it_s_time_to_respect_it,medios
An action plan for solving the climate crisis,John Doerr and Ryan Panchadsaram,October 2021,1200000,36000,https://ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis,medios
The science of preserving sight,Joshua Chu-Tan,August 2019,1200000,36000,https://ted.com/talks/joshua_chu_tan_the_science_of_preserving_sight,medios
Your self-driving robotaxi is almost here,Aicha Evans,August 2021,1300000,40000,https://ted.com/talks/aicha_evans_your_self_driving_robotaxi_is_almost_here,medios
A program to empower Black teachers in the US,Larry Irvin,September 2021,1200000,37000,https://ted.com/talks/larry_irvin_a_program_to_empower_black_teachers_in_the_us,medios
An ever-evolving map of everything on Earth,Jack Dangermond,October 2021,1200000,36000,https://ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth,medios
The crucial intersection of climate and capital,Nili Gilbert,October 2021,1200000,37000,https://ted.com/talks/nili_gilbert_the_crucial_intersection_of_climate_and_capital,medios
3 steps to getting what you want in a negotiation,Ruchi Sinha,November 2021,1900000,57000,https://ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation,medios
Tracking the whole world's carbon emissions — with satellites and AI,Gavin McCormick,October 2021,1300000,39000,https://ted.com/talks/gavin_mccormick_tracking_the_whole_world_s_carbon_emissions_with_satellites_and_ai,medios
The rise of predatory scams — and how to prevent them,Jane Walsh,June 2021,1300000,39000,https://ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them,medios
The twins who tricked the Maya gods of death,Ilan Stavans,November 2021,860000,25000,https://ted.com/talks/ilan_stavans_the_twins_who_tricked_the_maya_gods_of_death,medios
"""Being Human""",Naima Penniman,October 2021,1200000,36000,https://ted.com/talks/naima_penniman_being_human,medios
The many reasons to eat a plant-based diet,Derek Sarno,October 2021,1000000,32000,https://ted.com/talks/derek_sarno_the_many_reasons_to_eat_a_plant_based_diet,medios
The powerful women on the front lines of climate action,Farwiza Farhan,October 2021,1000000,32000,https://ted.com/talks/farwiza_farhan_the_powerful_women_on_the_front_lines_of_climate_action,medios
A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,October 2021,1000000,30000,https://ted.com/talks/enric_sala_a_bold_plan_to_protect_30_percent_of_the_earth_s_surface_and_ocean_floor,medios
"How your brain invents your ""self""",Anil Seth,October 2021,1500000,47000,https://ted.com/talks/anil_seth_how_your_brain_invents_your_self,medios
How small countries can make a big impact on climate change,Nicola Sturgeon,October 2021,1200000,38000,https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change,medios
"Super speed, magnetic levitation and the vision behind the hyperloop",Josh Giegel,August 2021,1300000,39000,https://ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop,medios
What working parents really need from workplaces,Angela Garbes,November 2021,1200000,36000,https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces,medios
The creative power of your intuition,Bozoma Saint John,August 2021,1400000,42000,https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition,medios
A tailored history of who wears what — and why,Richard Thompson Ford,September 2021,1300000,39000,https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why,medios
The problem of vaccine spoilage — and a smart sensor to help,Nithya Ramanathan,August 2021,1400000,42000,https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help,medios
How to make radical climate action the new normal,Al Gore,October 2021,1500000,47000,https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal,medios
3 rules to help you build a successful business,Julissa Prado,November 2021,1400000,42000,https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business,medios
The haunting truth of ghost stories,Coya Paz Brownrigg,May 2021,1100000,33000,https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories,medios
A new perspective on the journey to net-zero,Amina J. Mohammed,October 2021,1300000,41000,https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero,medios
The fastest way to slow climate change now,Ilissa Ocko,October 2021,1500000,46000,https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now,medios
AI isn't as smart as you think — but it could be,Jeff Dean,August 2021,1400000,42000,https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be,medios
"The Norse myth that inspired ""The Lord of the Rings""",Iseult Gillespie,October 2021,1500000,45000,https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings,medios
How to turn around a city,Irma L. Olguin Jr.,August 2021,1200000,38000,https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city,medios
Stuck in the gig economy? Try platform co-ops instead,Trebor Scholz,August 2021,1300000,41000,https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead,medios
Can China achieve its ambitious climate pledges?,Hongqiao Liu,October 2021,1300000,39000,https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges,medios
Visions for the future,Kai-Fu Lee and Chen Qiufan,September 2021,1100000,33000,https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future,medios
How to reduce bias in your workplace,Kim Scott and Trier Bryant,October 2021,1100000,34000,https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace,medios
3 tips for leaders to get the future of work right ,Debbie Lovich,September 2021,1400000,43000,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right,medios
How your nature photos can help protect wild animals,Tanya Berger-Wolf,March 2016,1200000,36000,https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals,medios
A close-to-home solution for accessible childcare,Chris Bennett,August 2021,1400000,43000,https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare,medios
How much clean electricity do we really need?,Solomon Goldstein-Rose,October 2021,1400000,42000,https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need,medios
How we could eat real meat without harming animals,Isha Datar,August 2021,1700000,51000,https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals,medios
Why paternity leave benefits everyone,Shu Matsuo Post,October 2021,1100000,34000,https://ted.com/talks/shu_matsuo_post_why_paternity_leave_benefits_everyone,medios
Introducing: Am I Normal? with Mona Chalabi,TED Audio Collective,October 2021,1000000,32000,https://ted.com/talks/ted_audio_collective_introducing_am_i_normal_with_mona_chalabi,medios
The bad math of the fossil fuel industry,Tzeporah Berman,October 2021,1500000,46000,https://ted.com/talks/tzeporah_berman_the_bad_math_of_the_fossil_fuel_industry,medios
Why skin disease is often misdiagnosed in darker skin tones,Jenna C. Lester,August 2021,1300000,39000,https://ted.com/talks/jenna_c_lester_why_skin_disease_is_often_misdiagnosed_in_darker_skin_tones,medios
What you discover when you really listen,Hrishikesh Hirway,August 2021,1700000,51000,https://ted.com/talks/hrishikesh_hirway_what_you_discover_when_you_really_listen,medios
The billion-dollar campaign to electrify transport,Monica Araya,October 2021,1300000,41000,https://ted.com/talks/monica_araya_the_billion_dollar_campaign_to_electrify_transport,medios
A roadmap for young changemakers,Melati Wijsen,October 2021,1500000,45000,https://ted.com/talks/melati_wijsen_a_roadmap_for_young_changemakers,medios
¿Por qué nos cuesta mirarnos al espejo? | Andrea Vilallonga | TEDxTarragona,Andrea Vilallonga,May 2017,1600000,50000,https://ted.com/talks/andrea_vilallonga_desarrollar_nuestro_capital_erotico,medios
5 tips for dealing with meeting overload,Cindy Solomon,October 2021,1500000,46000,https://ted.com/talks/cindy_solomon_5_tips_for_dealing_with_meeting_overload,medios
How humanity doubled life expectancy in a century,Steven Johnson,August 2021,1800000,55000,https://ted.com/talks/steven_johnson_how_humanity_doubled_life_expectancy_in_a_century,medios
What happened to the lost Kingdom of Kush?,Geoff Emberling,October 2021,732000,21000,https://ted.com/talks/geoff_emberling_what_happened_to_the_lost_kingdom_of_kush,medios
A more accurate way to calculate emissions,Charlotte Degot,September 2021,1400000,43000,https://ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions,medios
The brain science of obesity,Mads Tang-Christensen,September 2021,1700000,52000,https://ted.com/talks/mads_tang_christensen_the_brain_science_of_obesity,medios
The genes you don't get from your parents (but can't live without),Devin Shuman,October 2021,1500000,47000,https://ted.com/talks/devin_shuman_the_genes_you_don_t_get_from_your_parents_but_can_t_live_without,medios
How NFTs are building the internet of the future,Kayvon Tehranian,August 2021,1700000,52000,https://ted.com/talks/kayvon_tehranian_how_nfts_are_building_the_internet_of_the_future,medios
Want to truly succeed? Lift others up while you climb,Amber Hikes,October 2021,1700000,52000,https://ted.com/talks/amber_hikes_want_to_truly_succeed_lift_others_up_while_you_climb,medios
3 ways community creates a healthy life,Olivia Affuso,September 2021,1400000,44000,https://ted.com/talks/olivia_affuso_3_ways_community_creates_a_healthy_life,medios
The Black history of twerking — and how it taught me self-love, Lizzo,August 2021,1700000,52000,https://ted.com/talks/lizzo_the_black_history_of_twerking_and_how_it_taught_me_self_love,medios
Why the passport needs an upgrade,Karoli Hindriks,August 2021,1500000,46000,https://ted.com/talks/karoli_hindriks_why_the_passport_needs_an_upgrade,medios
How employers steal from workers — and get away with it,Rebecca Galemba,March 2021,1500000,47000,https://ted.com/talks/rebecca_galemba_how_employers_steal_from_workers_and_get_away_with_it_jan_2021,medios
The forgotten queen of Egypt,Abdallah Ewis,September 2021,842000,25000,https://ted.com/talks/abdallah_ewis_the_forgotten_queen_of_egypt,medios
Could you recover from illness ... using your own stem cells?,Nabiha Saklayen,August 2021,1800000,55000,https://ted.com/talks/nabiha_saklayen_could_you_recover_from_illness_using_your_own_stem_cells,medios
Can you solve the rogue submarine riddle? Difficulty level: Master,Alex Rosenthal,September 2021,735000,22000,https://ted.com/talks/alex_rosenthal_can_you_solve_the_rogue_submarine_riddle_difficulty_level_master,medios
The art of paying attention,Wendy MacNaughton,August 2021,2000000,62000,https://ted.com/talks/wendy_macnaughton_the_art_of_paying_attention,medios
The intended consequences of helping nature thrive,Ryan Phelan,August 2021,1500000,47000,https://ted.com/talks/ryan_phelan_the_intended_consequences_of_helping_nature_thrive,medios
The secrets of the world's most famous symphony,Hanako Sawada,September 2021,1100000,34000,https://ted.com/talks/hanako_sawada_the_secrets_of_the_world_s_most_famous_symphony,medios
The link between inequality and anxiety,Richard Wilkinson,September 2021,1600000,49000,https://ted.com/talks/richard_wilkinson_the_link_between_inequality_and_anxiety,medios
Planet City — a sci-fi vision of an astonishing regenerative future,Liam Young,August 2021,1600000,50000,https://ted.com/talks/liam_young_planet_city_a_sci_fi_vision_of_an_astonishing_regenerative_future,medios
The untapped energy source that could power the planet,Jamie C. Beard,August 2021,1800000,56000,https://ted.com/talks/jamie_c_beard_the_untapped_energy_source_that_could_power_the_planet,medios
You could have a secret twin (but not the way you think),Kayla Mandel Sheets,September 2021,2100000,63000,https://ted.com/talks/kayla_mandel_sheets_you_could_have_a_secret_twin_but_not_the_way_you_think,medios
An NFL quarterback on overcoming setbacks and self-doubt,Alex Smith,August 2021,2000000,60000,https://ted.com/talks/alex_smith_an_nfl_quarterback_on_overcoming_setbacks_and_self_doubt,medios
The trans story includes you,Nicole Maines,April 2016,1600000,48000,https://ted.com/talks/nicole_maines_the_trans_story_includes_you,medios
The inaccurate link between body ideals and health,Nancy N. Chen,September 2021,1700000,53000,https://ted.com/talks/nancy_n_chen_the_inaccurate_link_between_body_ideals_and_health,medios
A smart bra for better heart health,Alicia Chong Rodriguez,August 2021,1500000,47000,https://ted.com/talks/alicia_chong_rodriguez_a_smart_bra_for_better_heart_health,medios
Life-altering questions about the end of the universe,Katie Mack,July 2021,1800000,55000,https://ted.com/talks/katie_mack_life_altering_questions_about_the_end_of_the_universe,medios
The big myth of government deficits,Stephanie Kelton,August 2021,1700000,53000,https://ted.com/talks/stephanie_kelton_the_big_myth_of_government_deficits,medios
A sci-fi vision of life in 2041,Chen Qiufan,July 2021,1800000,54000,https://ted.com/talks/chen_qiufan_a_sci_fi_vision_of_life_in_2041,medios
"What is MSG, and is it actually bad for you?",Sarah E. Tracy,September 2021,2100000,64000,https://ted.com/talks/sarah_e_tracy_what_is_msg_and_is_it_actually_bad_for_you,medios
A taste of Mexico's ancient chocolate-making tradition,Germán Santillán,August 2021,1600000,48000,https://ted.com/talks/german_santillan_a_taste_of_mexico_s_ancient_chocolate_making_tradition,medios
How music can help you find peace after loss,Steven Sharp Nelson,September 2020,1500000,47000,https://ted.com/talks/steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss,medios
A future with fewer cars,Freeman H. Shen,August 2021,1600000,48000,https://ted.com/talks/freeman_h_shen_a_future_with_fewer_cars,medios
How the COVID-19 vaccines were created so quickly,Kaitlyn Sadtler and Elizabeth Wayne,August 2021,1300000,41000,https://ted.com/talks/kaitlyn_sadtler_and_elizabeth_wayne_how_the_covid_19_vaccines_were_created_so_quickly,medios
"Walk with Little Amal, a theatrical journey celebrating the refugee experience",Amir Nizar Zuabi,August 2021,1600000,50000,https://ted.com/talks/amir_nizar_zuabi_walk_with_little_amal_a_theatrical_journey_celebrating_the_refugee_experience,medios
How COVID-19 reshaped US cities,Kevin J. Krizek,March 2021,1500000,46000,https://ted.com/talks/kevin_j_krizek_how_covid_19_reshaped_us_cities,medios
An interactive map to track (and end) pollution in China,Ma Jun,August 2021,1800000,56000,https://ted.com/talks/ma_jun_an_interactive_map_to_track_and_end_pollution_in_china,medios
Why are stolen African artifacts still in Western museums?,Jim Chuchu,July 2021,1600000,48000,https://ted.com/talks/jim_chuchu_why_are_stolen_african_artifacts_still_in_western_museums,medios
The fingerprints of life beyond Earth,Clara Sousa-Silva,July 2021,1800000,55000,https://ted.com/talks/clara_sousa_silva_the_fingerprints_of_life_beyond_earth,medios
"The method that can ""prove"" almost anything",James A. Smith,August 2021,776000,23000,https://ted.com/talks/james_a_smith_the_method_that_can_prove_almost_anything,medios
The tiny balls of fat that could revolutionize medicine,Kathryn A. Whitehead,August 2021,1800000,55000,https://ted.com/talks/kathryn_a_whitehead_the_tiny_balls_of_fat_that_could_revolutionize_medicine,medios
Don't call people out — call them in,Loretta J. Ross,August 2021,1800000,55000,https://ted.com/talks/loretta_j_ross_don_t_call_people_out_call_them_in,medios
Meet the scientist couple driving an mRNA vaccine revolution,Uğur Şahin and Özlem Türeci,August 2021,2100000,63000,https://ted.com/talks/ugur_sahin_and_ozlem_tureci_meet_the_scientist_couple_driving_an_mrna_vaccine_revolution,medios
Remembering climate change ... a message from the year 2071,Kim Stanley Robinson,July 2021,1600000,50000,https://ted.com/talks/kim_stanley_robinson_remembering_climate_change_a_message_from_the_year_2071,medios
The informal settlements reshaping the world ,Jota Samper,September 2020,1600000,49000,https://ted.com/talks/jota_samper_the_informal_settlements_reshaping_the_world,medios
"The radical, revolutionary resilience of Black joy",Miracle Jones,April 2021,1500000,46000,https://ted.com/talks/miracle_jones_the_radical_revolutionary_resilience_of_black_joy,medios
A year in the life of one of Earth's weirdest animals,Gilad Bino,July 2021,732000,21000,https://ted.com/talks/gilad_bino_a_year_in_the_life_of_one_of_earth_s_weirdest_animals,medios
3 rules for a zero-carbon world,Nigel Topping,July 2021,1600000,49000,https://ted.com/talks/nigel_topping_3_rules_for_a_zero_carbon_world,medios
The rise and fall of the Kingdom of Man,Andrew McDonald,July 2021,920000,27000,https://ted.com/talks/andrew_mcdonald_the_rise_and_fall_of_the_kingdom_of_man,medios
"Are wild animals really ""wild""?",Emma Marris,June 2021,1400000,43000,https://ted.com/talks/emma_marris_are_wild_animals_really_wild,medios
The paradox at the heart of mathematics: Gödel's Incompleteness Theorem,Marcus du Sautoy,July 2021,2000000,61000,https://ted.com/talks/marcus_du_sautoy_the_paradox_at_the_heart_of_mathematics_godel_s_incompleteness_theorem,medios
The (de)colonizing of beauty,Sasha Sarago,November 2020,1600000,48000,https://ted.com/talks/sasha_sarago_the_de_colonizing_of_beauty,medios
Why COP26 is our best chance for a greener future,Alok Sharma,July 2021,1600000,48000,https://ted.com/talks/alok_sharma_why_cop26_is_our_best_chance_for_a_greener_future,medios
3 myths about racism that keep the US from progress,Candis Watts Smith,February 2020,1800000,55000,https://ted.com/talks/candis_watts_smith_3_myths_about_racism_that_keep_the_us_from_progress,medios
How do governments create money out of thin air?,Jonathan Smith,July 2021,781000,23000,https://ted.com/talks/jonathan_smith_how_do_governments_create_money_out_of_thin_air,medios
The missing 96 percent of the universe,Claire Malone,February 2021,1800000,55000,https://ted.com/talks/claire_malone_the_missing_96_percent_of_the_universe,medios
The most notorious scientific feud in history,Lukas Rieppel,July 2021,1000000,30000,https://ted.com/talks/lukas_rieppel_the_most_notorious_scientific_feud_in_history,medios
The link between menopause and gender inequity at work,Andrea Berchowitz,July 2021,1600000,48000,https://ted.com/talks/andrea_berchowitz_the_link_between_menopause_and_gender_inequity_at_work,medios
Documentary films that explore trauma — and make space for healing,Almudena Toral,May 2021,1700000,52000,https://ted.com/talks/almudena_toral_documentary_films_that_explore_trauma_and_make_space_for_healing,medios
History's deadliest king,Georges Nzongola-Ntalaja,July 2021,1100000,33000,https://ted.com/talks/georges_nzongola_ntalaja_history_s_deadliest_king,medios
What should humans take to space (and leave behind)?,Jorge Mañes Rubio,May 2021,1500000,47000,https://ted.com/talks/jorge_manes_rubio_what_should_humans_take_to_space_and_leave_behind,medios
Could we build a wooden skyscraper?,Stefan Al,July 2021,1200000,38000,https://ted.com/talks/stefan_al_could_we_build_a_wooden_skyscraper,medios
Why aren't there more Native American restaurants?,Sean Sherman,August 2020,1900000,58000,https://ted.com/talks/sean_sherman_why_aren_t_there_more_native_american_restaurants,medios
How music streaming transformed songwriting,Björn Ulvaeus,April 2021,1700000,53000,https://ted.com/talks/bjorn_ulvaeus_how_music_streaming_transformed_songwriting,medios
What's normal anxiety — and what's an anxiety disorder?,Jen Gunter,July 2021,1700000,52000,https://ted.com/talks/jen_gunter_what_s_normal_anxiety_and_what_s_an_anxiety_disorder,medios
The dark history of the Chinese Exclusion Act,Robert Chang,July 2021,722000,21000,https://ted.com/talks/robert_chang_the_dark_history_of_the_chinese_exclusion_act,medios
The infinite alchemy of storytelling,Zahra Al-Mahdi,May 2021,1600000,49000,https://ted.com/talks/zahra_al_mahdi_the_infinite_alchemy_of_storytelling,medios
How to turn grit into a lifelong habit | Angela Duckworth,The TED Interview,July 2021,1500000,45000,https://ted.com/talks/the_ted_interview_how_to_turn_grit_into_a_lifelong_habit_angela_duckworth,medios
Why we're more honest with machines than people,Anne Scherer,November 2020,1800000,54000,https://ted.com/talks/anne_scherer_why_we_re_more_honest_with_machines_than_people,medios
"How one person saved over 2,000 children from the Nazis",Iseult Gillespie,June 2021,1200000,36000,https://ted.com/talks/iseult_gillespie_how_one_person_saved_over_2_000_children_from_the_nazis,medios
How to heat your home without hurting the planet,Kathy Hannun,May 2021,1500000,47000,https://ted.com/talks/kathy_hannun_how_to_heat_your_home_without_hurting_the_planet,medios
